url,wā,title,ingoa_kaikōrero,paragraph_number,kōrero_waenga
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140411_00000256/flavell-te-ururoa-ng%C4%81ti-rangiteaorere-claims-settlement,09-Apr-2014  ,"Flavell, Te Ururoa: NgÄti Rangiteaorere Claims Settlement Bill, NgÄti Rangiwewehi Claims Settlement Bill, Tapuika Claims Settlem  ",Te Ururoa Flavell; Eric Roy;  ,1,['[Sitting date: 09 April 2014. Volume:697;Page:17163. Text is incorporated into the Bound Volume.]']
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140411_00000256/flavell-te-ururoa-ng%C4%81ti-rangiteaorere-claims-settlement,09-Apr-2014  ,"Flavell, Te Ururoa: NgÄti Rangiteaorere Claims Settlement Bill, NgÄti Rangiwewehi Claims Settlement Bill, Tapuika Claims Settlem  ",Te Ururoa Flavell; Eric Roy;  ,2,"['\n', <a name=""time_12:42:50""></a>, '\n', <strong>TE URUROA FLAVELL (Co-Leader—Māori Party):</strong>, '\r\n           I raise a point of order, Mr Speaker. In Te Reo Māori, Mr Deputy Speaker.\r\n        ']"
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140411_00000256/flavell-te-ururoa-ng%C4%81ti-rangiteaorere-claims-settlement,09-Apr-2014  ,"Flavell, Te Ururoa: NgÄti Rangiteaorere Claims Settlement Bill, NgÄti Rangiwewehi Claims Settlement Bill, Tapuika Claims Settlem  ",Te Ururoa Flavell; Eric Roy;  ,3,"['\n', <strong>Mr DEPUTY SPEAKER</strong>, '\r\n          : Sorry?\r\n        ']"
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140411_00000256/flavell-te-ururoa-ng%C4%81ti-rangiteaorere-claims-settlement,09-Apr-2014  ,"Flavell, Te Ururoa: NgÄti Rangiteaorere Claims Settlement Bill, NgÄti Rangiwewehi Claims Settlement Bill, Tapuika Claims Settlem  ",Te Ururoa Flavell; Eric Roy;  ,4,"['\n', <strong>TE URUROA FLAVELL</strong>, '\r\n            : Reo Māori, Mr Deputy Speaker—Reo Māori. Kia tere. He tono tēnei ki te Whare Pāremata, kia mutu taku kōrero, kia waihohia ake mā Ngāti Rangiwewehi e whakakōpani ā-waiata nei. Kia mutu a Rangiwewehi ka tukuna te rākau waiata, kōrero rānei ki a Rangiteaorere. Ka mutu a Rangiteaorere, ka tukuna ki a Tapuika, hei whakakōpani i te āhuatanga o wā tātau kōrero, ā, hei whakanui i te āhuatanga o tēnei rā. Nō reira, koinei te tono ki te Whare, kia whakaae mai ki tērā tono.\r\n          ']"
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140411_00000256/flavell-te-ururoa-ng%C4%81ti-rangiteaorere-claims-settlement,09-Apr-2014  ,"Flavell, Te Ururoa: NgÄti Rangiteaorere Claims Settlement Bill, NgÄti Rangiwewehi Claims Settlement Bill, Tapuika Claims Settlem  ",Te Ururoa Flavell; Eric Roy;  ,5,"['\r\n            [', <em>Māori language, Mr Deputy Speaker—Māori language. Hurry along. I seek leave of this House of Parliament that when my address ends I would leave it for Ngāti Rangiwewehi to close it with a traditional song. When Rangiwewehi finishes that, the rod of opportunity to sing a traditional song or make a traditional speech is passed on to Rangiteaorere. When they are finished, it is passed on to Tapuika to close the circumstances relating to our speeches and to celebrate the circumstances about this </em>, <strong></strong>, <em>day. So this is the nub of this leave being sought, and I seek leave that the House grant it.</em>, <strong></strong>, ']\r\n          ']"
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140411_00000274/flavell-te-ururoa-ng%C4%81ti-rangiteaorere-claims-settlement,09-Apr-2014  ,"Flavell, Te Ururoa: NgÄti Rangiteaorere Claims Settlement Bill, NgÄti Rangiwewehi Claims Settlement Bill, Tapuika Claims Settlem  ",Te Ururoa Flavell;  ,1,['[Sitting date: 09 April 2014. Volume:697;Page:17164. Text is incorporated into the Bound Volume.]']
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140411_00000274/flavell-te-ururoa-ng%C4%81ti-rangiteaorere-claims-settlement,09-Apr-2014  ,"Flavell, Te Ururoa: NgÄti Rangiteaorere Claims Settlement Bill, NgÄti Rangiwewehi Claims Settlement Bill, Tapuika Claims Settlem  ",Te Ururoa Flavell;  ,2,"['\n', <a name=""time_12:44:15""></a>, '\n', <strong>TE URUROA FLAVELL (Co-Leader—Māori Party):</strong>, '\r\n           I raise a point of order, Mr Speaker. Ko te mate kē, ko ētahi o ngā waiata o Tapuika, āhua roa nei. Nō reira, ko te tono e pēnei ana, mēnā ka hipa i te kotahi karaka, ko te kōrero me ngā waiata kia haere tonu wā tātau kōrero kia oti katoa i runga i te rangimārie.\r\n        ']"
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140411_00000274/flavell-te-ururoa-ng%C4%81ti-rangiteaorere-claims-settlement,09-Apr-2014  ,"Flavell, Te Ururoa: NgÄti Rangiteaorere Claims Settlement Bill, NgÄti Rangiwewehi Claims Settlement Bill, Tapuika Claims Settlem  ",Te Ururoa Flavell;  ,3,"['\r\n          [', <em>The problem really is that some of Tapuika’s songs are quite long. So if the songs of embellishment or the speech go beyond </em>, <strong></strong>, <em>1 p.m.</em>, <strong></strong>, <em>, leave is being sought to allow this to continue until everything is completed amicably.</em>, <strong></strong>, ']\r\n        ']"
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140411_00000287/flavell-te-ururoa-ng%C4%81ti-rangiteaorere-claims-settlement,09-Apr-2014  ,"Flavell, Te Ururoa: NgÄti Rangiteaorere Claims Settlement Bill, NgÄti Rangiwewehi Claims Settlement Bill, Tapuika Claims Settlem  ",Te Ururoa Flavell;  ,1,['[Sitting date: 09 April 2014. Volume:697;Page:17164. Text is incorporated into the Bound Volume.]']
https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140411_00000287/flavell-te-ururoa-ng%C4%81ti-rangiteaorere-claims-settlement,09-Apr-2014  ,"Flavell, Te Ururoa: NgÄti Rangiteaorere Claims Settlement Bill, NgÄti Rangiwewehi Claims Settlement Bill, Tapuika Claims Settlem  ",Te Ururoa Flavell;  ,2,"['\n', <a name=""time_12:44:58""></a>, '\n', <strong>TE URUROA FLAVELL (Co-Leader—Māori Party):</strong>, '\r\n           Ā, tēnā koe, Mr Deputy Speaker, kia ora koe mō tērā whakatau āu. E mihi atu ana ki a tātau katoa kua tae mai ki te Whare Pāremata i te rā nei, ki aku hoa mema Pāremata e kōrero nei mōku mō Ngāti Rangiwewehi, mōku mō Tapuika, mō te āhuatanga ki Ngāti Rangiteaorere, tēnā koutou katoa. Ko te mate kē nō roto ahau i ēnei iwi. E āhua raruraru ana te ngākau kei kī mai ētahi, e kī, e kī, kei te kōrero te tangata nei mō tōna painga. He iwi hūmārie a Ngāti Rangiwewehi. He iwi kore kōrero mō rātau, mō ō rātau ake painga a Ngāti Rangiwewehi. Nō reira, me whai au i te tauira o ōku mātua, i o ōku tūpuna kia ngāwari te kōrero mō taku iwi. \r\n        ']"
