"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"R7JWBM6A","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140411_00000256/flavell-te-ururoa-ng%C4%81ti-rangiteaorere-claims-settlement","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-29 00:38:22","2017-11-29 00:38:22","2017-11-29 00:38:22","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/F9LQNVCP/flavell-te-ururoa-ngāti-rangiteaorere-claims-settlement.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J349GXGH","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140411_00000274/flavell-te-ururoa-ng%C4%81ti-rangiteaorere-claims-settlement","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-29 00:38:04","2017-11-29 00:38:04","2017-11-29 00:38:04","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/GHAB6QT4/flavell-te-ururoa-ngāti-rangiteaorere-claims-settlement.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L58Q7PBX","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140411_00000287/flavell-te-ururoa-ng%C4%81ti-rangiteaorere-claims-settlement","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-29 00:37:48","2017-11-29 00:37:48","2017-11-29 00:37:48","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/UU72MPKX/flavell-te-ururoa-ngāti-rangiteaorere-claims-settlement.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PBIFZSJD","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140411_00000313/flavell-te-ururoa-ng%C4%81ti-rangiteaorere-claims-settlement","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-29 00:37:23","2017-11-29 00:37:23","2017-11-29 00:37:23","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/BDXK9M9V/flavell-te-ururoa-ngāti-rangiteaorere-claims-settlement.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TAEKC5BA","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140726_00000013/flavell-te-ururoa-t%C5%ABhoe-claims-settlement-bill-te-urewera","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-29 00:35:34","2017-11-29 00:35:34","2017-11-29 00:35:34","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/EMGCHBBG/flavell-te-ururoa-tūhoe-claims-settlement-bill-te-urewera.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ABUNL8ES","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140515_00000158/flavell-te-ururoa-budget-statement-budget-debate","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:58:13","2017-11-28 22:58:13","2017-11-28 22:58:13","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/4794K6VT/flavell-te-ururoa-budget-statement-budget-debate.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92FYNBK9","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140528_00000952/flavell-te-ururoa-new-zealand-mission-trust-board-otamataha","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:57:16","2017-11-28 22:57:16","2017-11-28 22:57:16","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/TGERZ3GF/flavell-te-ururoa-new-zealand-mission-trust-board-otamataha.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6BRB5UD9","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140528_00001186/davis-kelvin-new-zealand-mission-trust-board-otamataha","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:56:51","2017-11-28 22:56:51","2017-11-28 22:56:51","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/JZYU3HPH/davis-kelvin-new-zealand-mission-trust-board-otamataha.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6Y7UQY9B","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140620_00000075/flavell-te-ururoa-te-urewera-t%C5%ABhoe-bill-in-committee","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:56:03","2017-11-28 22:56:03","2017-11-28 22:56:03","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/338MZ6SD/flavell-te-ururoa-te-urewera-tūhoe-bill-in-committee.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DNSQWYDZ","webpage","","","Read Hansard Reports","","","","","https://www.parliament.nz/en/pb/hansard-debates/rhr/document/50HansS_20140722_00000041/flavell-te-ururoa-motions-malaysia-airlines-flight","Hansard editors report what politicians say in the House of Representatives. Here you can read our near-verbatim reports on all debates, including oral questions and proposed laws (bills).","","2017-11-28 22:54:51","2017-11-28 22:54:51","2017-11-28 22:54:51","","","","","","","","","","","","","","","","","","","","","","","/home/william/Zotero/storage/3M68GLSJ/flavell-te-ururoa-motions-malaysia-airlines-flight.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
